#ServerReceiveDate,msec,HsSendDate,msec,ProtorolVer,Sn,Lat,Lon,G_amp,Seq,P_Shindo,P_Gal,S_ShindoEst,S_ShindoEst,S_Shindo,S_Gal,P_sn,P_co_p,TrigStartDate,msec,Uncertainty,isEq,Bcast,IsEew,Param,MdPort,MdEn,MdAct,Sp
9/8/17 4:50,539,4:50:00,503,2,1604391,15.7592,-96.1013,1.22,8,1.33,1.58,2.33,4.73,1.57,2.08,62,471,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,OFF
9/8/17 4:50,254,4:50:01,202,2,1604482,14.9074,-92.2622,1.22,11,1.12,1.24,2.12,3.72,1.57,2.09,57,1089,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,515,4:50:01,495,2,1604397,15.7734,-96.0966,1.22,9,1.87,2.94,2.87,8.82,2.53,6.3,110,694,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,737,4:50:01,703,2,1604391,15.7592,-96.1013,1.22,9,1.33,1.58,2.33,4.73,1.71,2.44,65,591,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,318,4:50:02,292,2,1604393,16.2014,-95.1953,1.22,11,1.85,2.88,2.85,8.64,3.71,24.5,123,1477,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,555,4:50:02,527,2,1604396,16.20459,-95.2071,1.22,10,1.74,2.53,2.74,7.58,3.95,32.01,131,1478,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,239,4:50:03,205,2,1604391,15.7592,-96.1013,1.22,10,1.31,1.55,2.31,4.64,1.99,3.37,65,741,9/8/17 4:49,779,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,315,4:50:03,295,2,1604397,15.7734,-96.0966,1.22,10,1.87,2.93,2.87,8.78,2.68,7.43,110,874,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,56,4:50:04,4,2,1604482,14.9074,-92.2622,1.22,12,1.14,1.26,2.14,3.78,1.65,2.28,57,1369,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,351,4:50:05,325,2,1604062,15.6855,-93.2022,1.22,14,1.56,2.04,2.56,6.13,3.74,25.2,83,2686,9/8/17 4:49,446,0,2500,OFF,OFF,,10505,ON,OFF,OFF
